PrincipleKey,MilestoneDate,MilestoneKey,MilestoneStatus,MilestoneRAG,Weight,PrincipleName
8,2016-11-10,1,Completed,Green,0.3,Comprehensiveness
10,2016-10-13,2,Completed,Amber,0.5,Frequency
2,2016-04-19,3,Completed,Red,0.1,Data architecture and IT infrastructure
4,2018-01-14,4,Active,Red,0.9,Completeness
9,2018-05-07,5,Active,Red,0.1,Clarity and usefulness
10,2017-10-31,6,Active,Red,0.1,Frequency
7,2018-10-18,7,Active,Amber,0.5,Accuracy
7,2018-05-07,8,Active,Red,0.3,Accuracy
6,2018-09-04,9,Active,Amber,0.9,Adaptability
2,2017-10-25,10,Active,Red,5,Data architecture and IT infrastructure
3,2016-03-30,11,Completed,Green,0.5,Accuracy and integrity
6,2018-06-30,12,Active,Red,0.5,Adaptability
9,2016-08-04,13,Completed,Amber,0.9,Clarity and usefulness
1,2018-04-25,14,Active,Red,0.9,Governance
9,2018-08-26,15,Active,Green,2.7,Clarity and usefulness
5,2018-06-24,16,Active,Red,0.9,Timeliness
1,2016-06-04,17,Completed,Amber,0.1,Governance
8,2018-05-17,18,Active,Red,0.9,Comprehensiveness
1,2016-09-05,19,Completed,Amber,2.7,Governance
1,2016-10-25,20,Completed,Red,0.5,Governance
6,2018-11-12,21,Active,Red,0.9,Adaptability
6,2016-09-07,22,Completed,Green,0.1,Adaptability
6,2017-10-05,23,Active,Red,0.5,Adaptability
2,2017-06-15,24,Completed,Green,0.3,Data architecture and IT infrastructure
2,2017-07-05,25,Completed,Amber,0.3,Data architecture and IT infrastructure
1,2016-05-30,26,Completed,Amber,0.9,Governance
3,2017-05-07,27,Completed,Red,2.7,Accuracy and integrity
2,2018-04-16,28,Active,Red,0.5,Data architecture and IT infrastructure
6,2018-05-17,29,Active,Amber,5,Adaptability
11,2018-11-12,30,Active,Amber,5,Distribution
8,2017-06-02,31,Overdue,Amber,0.1,Comprehensiveness
3,2018-09-18,32,Active,Red,2.7,Accuracy and integrity
6,2017-11-20,33,Active,Green,0.5,Adaptability
7,2016-05-07,34,Completed,Green,5,Accuracy
2,2016-01-29,35,Completed,Amber,0.5,Data architecture and IT infrastructure
7,2016-08-28,36,Completed,Amber,0.9,Accuracy
7,2017-03-02,37,Completed,Amber,5,Accuracy
2,2016-04-10,38,Completed,Amber,5,Data architecture and IT infrastructure
4,2017-12-22,39,Active,Green,0.3,Completeness
2,2018-12-23,40,Active,Amber,0.5,Data architecture and IT infrastructure
9,2017-01-14,41,Completed,Amber,2.7,Clarity and usefulness
1,2018-01-01,42,Active,Green,0.1,Governance
7,2017-11-14,43,Active,Amber,0.9,Accuracy
10,2018-01-10,44,Active,Red,0.9,Frequency
4,2018-08-08,45,Active,Amber,5,Completeness
7,2018-03-12,46,Active,Amber,0.3,Accuracy
7,2018-07-29,47,Active,Amber,2.7,Accuracy
4,2016-08-17,48,Completed,Amber,0.3,Completeness
2,2018-04-02,49,Active,Amber,0.5,Data architecture and IT infrastructure
7,2018-10-21,50,Active,Green,5,Accuracy
6,2017-08-19,51,Completed,Red,0.5,Adaptability
5,2017-12-12,52,Active,Red,0.3,Timeliness
1,2016-01-29,53,Completed,Green,0.9,Governance
9,2016-06-01,54,Completed,Amber,0.9,Clarity and usefulness
7,2016-05-06,55,Completed,Amber,5,Accuracy
9,2017-03-02,56,Completed,Amber,2.7,Clarity and usefulness
7,2017-10-07,57,Active,Red,0.1,Accuracy
1,2018-10-26,58,Active,Red,0.9,Governance
6,2018-02-13,59,Active,Red,0.5,Adaptability
9,2016-07-19,60,Completed,Red,0.1,Clarity and usefulness
1,2018-02-18,61,Active,Red,2.7,Governance
1,2017-06-27,62,Active,Green,0.5,Governance
6,2016-09-07,63,Completed,Red,0.9,Adaptability
7,2017-01-17,64,Completed,Red,2.7,Accuracy
8,2016-04-30,65,Completed,Amber,0.5,Comprehensiveness
1,2017-10-09,66,Active,Amber,0.9,Governance
2,2016-01-27,67,Completed,Green,0.3,Data architecture and IT infrastructure
1,2018-06-16,68,Active,Red,2.7,Governance
8,2017-07-29,69,Completed,Red,0.1,Comprehensiveness
3,2017-09-26,70,Active,Red,0.1,Accuracy and integrity
2,2016-11-06,71,Completed,Amber,0.3,Data architecture and IT infrastructure
1,2017-12-24,72,Active,Green,0.5,Governance
2,2018-11-18,73,Active,Amber,0.3,Data architecture and IT infrastructure
2,2017-03-07,74,Completed,Red,0.1,Data architecture and IT infrastructure
3,2018-08-30,75,Active,Green,0.3,Accuracy and integrity
8,2017-08-23,76,Completed,Amber,0.1,Comprehensiveness
7,2018-08-13,77,Active,Amber,2.7,Accuracy
5,2017-06-23,78,Active,Green,0.1,Timeliness
6,2017-05-29,79,Overdue,Red,0.3,Adaptability
7,2017-06-23,80,Completed,Green,5,Accuracy
3,2017-09-13,81,Completed,Amber,0.3,Accuracy and integrity
1,2017-02-25,82,Completed,Amber,0.9,Governance
5,2017-10-31,83,Active,Red,0.3,Timeliness
2,2018-01-17,84,Active,Red,0.9,Data architecture and IT infrastructure
7,2017-02-15,85,Completed,Green,2.7,Accuracy
1,2018-08-11,86,Active,Amber,0.1,Governance
6,2016-09-06,87,Overdue,Amber,0.9,Adaptability
2,2017-10-24,88,Active,Red,0.3,Data architecture and IT infrastructure
1,2018-03-09,89,Active,Amber,0.1,Governance
5,2018-04-20,90,Active,Green,0.1,Timeliness
11,2017-08-07,91,Active,Green,0.1,Distribution
6,2018-04-18,92,Active,Amber,0.9,Adaptability
2,2016-09-23,93,Completed,Red,2.7,Data architecture and IT infrastructure
1,2016-02-23,94,Completed,Green,0.5,Governance
7,2016-08-19,95,Completed,Amber,0.3,Accuracy
4,2017-07-05,96,Completed,Green,0.5,Completeness
1,2017-04-05,97,Completed,Amber,0.1,Governance
5,2016-11-28,98,Overdue,Amber,0.5,Timeliness
8,2016-01-30,99,Completed,Green,0.1,Comprehensiveness
7,2017-08-15,100,Active,Amber,0.9,Accuracy
9,2016-10-26,101,Completed,Red,5,Clarity and usefulness
7,2016-06-03,102,Completed,Green,0.1,Accuracy
1,2018-10-29,103,Active,Green,5,Governance
1,2016-09-15,104,Completed,Green,0.9,Governance
2,2018-11-29,105,Active,Red,5,Data architecture and IT infrastructure
9,2016-08-15,106,Completed,Amber,5,Clarity and usefulness
2,2018-10-04,107,Active,Amber,0.3,Data architecture and IT infrastructure
7,2017-12-31,108,Active,Red,0.9,Accuracy
2,2017-03-24,109,Completed,Red,2.7,Data architecture and IT infrastructure
1,2017-01-03,110,Completed,Amber,0.3,Governance
1,2017-08-10,111,Completed,Amber,5,Governance
10,2017-02-08,112,Completed,Green,5,Frequency
5,2016-05-17,113,Completed,Amber,5,Timeliness
2,2016-03-28,114,Completed,Amber,0.9,Data architecture and IT infrastructure
7,2016-08-16,115,Completed,Amber,5,Accuracy
6,2018-01-26,116,Active,Green,2.7,Adaptability
9,2016-02-05,117,Completed,Amber,2.7,Clarity and usefulness
2,2018-07-05,118,Active,Green,5,Data architecture and IT infrastructure
1,2016-07-04,119,Completed,Red,0.1,Governance
6,2016-05-13,120,Completed,Amber,0.9,Adaptability
6,2017-06-15,121,Active,Green,0.3,Adaptability
7,2016-11-07,122,Completed,Green,0.5,Accuracy
3,2017-04-13,123,Completed,Red,0.5,Accuracy and integrity
9,2017-04-06,124,Completed,Red,2.7,Clarity and usefulness
1,2017-07-06,125,Completed,Green,0.5,Governance
2,2016-10-25,126,Completed,Amber,0.5,Data architecture and IT infrastructure
10,2016-04-19,127,Completed,Red,5,Frequency
1,2018-01-23,128,Active,Green,2.7,Governance
1,2017-10-12,129,Active,Amber,2.7,Governance
1,2017-10-21,130,Completed,Red,0.5,Governance
6,2018-02-22,131,Active,Red,0.9,Adaptability
1,2017-01-07,132,Overdue,Red,0.5,Governance
1,2016-07-12,133,Completed,Red,2.7,Governance
2,2017-01-13,134,Completed,Green,0.9,Data architecture and IT infrastructure
7,2017-01-31,135,Completed,Red,5,Accuracy
1,2016-10-17,136,Completed,Green,0.3,Governance
8,2017-03-17,137,Completed,Green,5,Comprehensiveness
1,2017-03-25,138,Completed,Amber,0.3,Governance
2,2018-07-04,139,Active,Amber,5,Data architecture and IT infrastructure
6,2018-12-29,140,Active,Red,0.1,Adaptability
4,2016-12-28,141,Completed,Red,0.1,Completeness
3,2016-04-26,142,Completed,Red,0.5,Accuracy and integrity
1,2016-08-24,143,Completed,Amber,0.9,Governance
11,2016-09-03,144,Completed,Green,0.3,Distribution
6,2018-09-11,145,Active,Amber,0.3,Adaptability
7,2017-11-12,146,Completed,Red,0.5,Accuracy
3,2017-06-19,147,Active,Amber,5,Accuracy and integrity
10,2018-09-13,148,Active,Red,0.1,Frequency
1,2018-12-15,149,Active,Green,0.1,Governance
7,2017-10-27,150,Active,Green,5,Accuracy
6,2017-10-11,151,Active,Amber,0.3,Adaptability
4,2016-01-20,152,Completed,Amber,0.1,Completeness
1,2016-05-08,153,Completed,Amber,0.5,Governance
3,2017-02-05,154,Completed,Amber,2.7,Accuracy and integrity
10,2017-06-30,155,Active,Red,0.9,Frequency
2,2018-05-26,156,Active,Red,2.7,Data architecture and IT infrastructure
2,2018-02-11,157,Active,Amber,0.9,Data architecture and IT infrastructure
8,2016-01-13,158,Completed,Red,0.5,Comprehensiveness
3,2018-07-09,159,Active,Red,0.5,Accuracy and integrity
7,2017-08-20,160,Active,Amber,0.9,Accuracy
7,2018-03-24,161,Active,Amber,0.5,Accuracy
6,2018-01-30,162,Active,Red,5,Adaptability
1,2017-09-08,163,Active,Green,0.3,Governance
2,2016-01-22,164,Completed,Amber,2.7,Data architecture and IT infrastructure
11,2018-03-16,165,Active,Red,0.3,Distribution
9,2018-09-05,166,Active,Green,0.3,Clarity and usefulness
2,2018-11-04,167,Active,Green,5,Data architecture and IT infrastructure
10,2018-11-16,168,Active,Amber,0.5,Frequency
7,2018-01-17,169,Active,Green,0.1,Accuracy
1,2017-08-05,170,Active,Amber,0.3,Governance
2,2016-05-03,171,Completed,Amber,2.7,Data architecture and IT infrastructure
1,2017-02-04,172,Overdue,Green,0.1,Governance
9,2016-05-05,173,Completed,Red,0.1,Clarity and usefulness
1,2018-01-23,174,Active,Red,0.9,Governance
2,2018-11-26,175,Active,Red,0.5,Data architecture and IT infrastructure
1,2018-01-28,176,Active,Red,5,Governance
9,2018-02-20,177,Active,Amber,0.5,Clarity and usefulness
3,2017-11-07,178,Active,Red,2.7,Accuracy and integrity
2,2018-09-05,179,Active,Amber,0.5,Data architecture and IT infrastructure
3,2018-09-16,180,Active,Red,5,Accuracy and integrity
7,2018-09-29,181,Active,Red,2.7,Accuracy
2,2016-02-06,182,Completed,Amber,0.3,Data architecture and IT infrastructure
2,2017-08-14,183,Completed,Amber,0.1,Data architecture and IT infrastructure
2,2017-06-04,184,Overdue,Green,0.9,Data architecture and IT infrastructure
1,2018-06-08,185,Active,Red,0.5,Governance
6,2017-05-09,186,Completed,Amber,5,Adaptability
2,2017-03-22,187,Completed,Amber,0.3,Data architecture and IT infrastructure
10,2018-11-22,188,Active,Red,0.9,Frequency
2,2018-03-27,189,Active,Green,0.3,Data architecture and IT infrastructure
8,2018-01-21,190,Active,Red,0.1,Comprehensiveness
5,2018-07-30,191,Active,Red,0.5,Timeliness
3,2016-04-25,192,Completed,Green,5,Accuracy and integrity
8,2018-09-07,193,Active,Green,2.7,Comprehensiveness
7,2018-06-05,194,Active,Red,0.5,Accuracy
9,2018-09-05,195,Active,Amber,0.1,Clarity and usefulness
2,2016-01-24,196,Completed,Amber,0.5,Data architecture and IT infrastructure
1,2017-02-23,197,Overdue,Green,0.9,Governance
1,2018-04-24,198,Active,Amber,0.9,Governance
7,2018-08-29,199,Active,Green,0.5,Accuracy
3,2018-08-29,200,Active,Green,0.1,Accuracy and integrity
1,2017-08-17,201,Active,Red,0.3,Governance
9,2018-02-01,202,Active,Green,2.7,Clarity and usefulness
3,2017-02-02,203,Overdue,Amber,0.1,Accuracy and integrity
2,2017-11-16,204,Active,Amber,2.7,Data architecture and IT infrastructure
6,2016-06-02,205,Completed,Amber,0.3,Adaptability
6,2016-05-29,206,Completed,Amber,0.3,Adaptability
3,2017-04-11,207,Completed,Red,0.1,Accuracy and integrity
2,2018-01-06,208,Active,Red,0.3,Data architecture and IT infrastructure
7,2017-04-27,209,Completed,Red,0.9,Accuracy
9,2016-01-04,210,Completed,Amber,5,Clarity and usefulness
7,2017-07-11,211,Active,Red,0.5,Accuracy
2,2017-03-15,212,Completed,Red,0.9,Data architecture and IT infrastructure
10,2018-03-29,213,Active,Green,0.5,Frequency
1,2017-08-21,214,Active,Amber,2.7,Governance
7,2017-04-28,215,Completed,Red,0.1,Accuracy
9,2016-02-14,216,Completed,Amber,0.9,Clarity and usefulness
5,2018-07-18,217,Active,Red,0.9,Timeliness
7,2018-11-19,218,Active,Green,2.7,Accuracy
2,2016-02-22,219,Completed,Red,0.1,Data architecture and IT infrastructure
7,2018-05-06,220,Active,Red,0.5,Accuracy
8,2016-12-01,221,Completed,Amber,2.7,Comprehensiveness
7,2017-12-05,222,Active,Green,0.3,Accuracy
1,2017-04-05,223,Overdue,Red,0.1,Governance
8,2017-06-24,224,Completed,Amber,0.1,Comprehensiveness
3,2016-08-06,225,Completed,Green,0.3,Accuracy and integrity
2,2018-11-14,226,Active,Green,0.5,Data architecture and IT infrastructure
8,2017-05-02,227,Completed,Green,0.1,Comprehensiveness
5,2018-03-20,228,Active,Red,0.3,Timeliness
1,2016-12-19,229,Completed,Red,5,Governance
7,2017-11-15,230,Active,Red,5,Accuracy
6,2016-04-06,231,Completed,Green,5,Adaptability
6,2018-12-17,232,Active,Red,0.5,Adaptability
11,2016-06-09,233,Completed,Green,5,Distribution
6,2018-11-23,234,Active,Amber,5,Adaptability
6,2017-09-14,235,Active,Green,5,Adaptability
2,2016-01-08,236,Completed,Amber,0.1,Data architecture and IT infrastructure
7,2017-10-11,237,Active,Amber,5,Accuracy
2,2016-06-18,238,Completed,Green,5,Data architecture and IT infrastructure
8,2016-09-03,239,Completed,Amber,5,Comprehensiveness
7,2018-06-26,240,Active,Green,0.5,Accuracy
